account_id,customer_id,account_type,account_status,balance,currency
ACC-00001,CUST-00001,CREDIT_CARD,ACTIVE,49726.41,GBP
ACC-00002,CUST-00002,CURRENT,ACTIVE,41347.69,CAD
ACC-00003,CUST-00003,CREDIT_CARD,ACTIVE,29552.45,CAD
ACC-00004,CUST-00004,CREDIT_CARD,ACTIVE,32191.64,CAD
ACC-00005,CUST-00005,CREDIT_CARD,ACTIVE,49012.69,GBP
ACC-00006,CUST-00006,CREDIT_CARD,ACTIVE,35547.71,USD
ACC-00007,CUST-00007,CREDIT_CARD,ACTIVE,6115.46,CAD
ACC-00008,CUST-00008,CREDIT_CARD,ACTIVE,4621.46,USD
ACC-00009,CUST-00009,CURRENT,SUSPENDED,12654.58,CAD
ACC-00010,CUST-00010,CREDIT_CARD,ACTIVE,32009.75,CAD
ACC-00011,CUST-00011,CURRENT,ACTIVE,20563.02,USD
ACC-00012,CUST-00012,SAVINGS,ACTIVE,32072.56,CAD
ACC-00013,CUST-00013,CURRENT,ACTIVE,2736.64,CAD
ACC-00014,CUST-00014,CURRENT,ACTIVE,35244.8,USD
ACC-00015,CUST-00015,CREDIT_CARD,SUSPENDED,49828.8,USD
ACC-00016,CUST-00016,CREDIT_CARD,ACTIVE,16595.71,GBP
ACC-00017,CUST-00017,CREDIT_CARD,ACTIVE,21224.74,CAD
ACC-00018,CUST-00018,CREDIT_CARD,ACTIVE,11173.32,GBP
ACC-00019,CUST-00019,CREDIT_CARD,ACTIVE,36137.32,CAD
ACC-00020,CUST-00020,CREDIT_CARD,ACTIVE,9722.08,CAD
ACC-00021,CUST-00021,CREDIT_CARD,SUSPENDED,10560.78,CAD
ACC-00022,CUST-00022,CURRENT,ACTIVE,6793.68,CAD
ACC-00023,CUST-00023,SAVINGS,SUSPENDED,48953.06,CAD
ACC-00024,CUST-00024,CURRENT,ACTIVE,7213.5,USD
ACC-00025,CUST-00025,CREDIT_CARD,ACTIVE,30100.73,USD
ACC-00026,CUST-00026,CURRENT,SUSPENDED,46799.57,CAD
ACC-00027,CUST-00027,SAVINGS,ACTIVE,1344.09,GBP
ACC-00028,CUST-00028,CREDIT_CARD,SUSPENDED,37831.0,USD
ACC-00029,CUST-00029,SAVINGS,ACTIVE,23863.94,USD
ACC-00030,CUST-00030,CREDIT_CARD,ACTIVE,45668.98,USD
ACC-00031,CUST-00031,CREDIT_CARD,ACTIVE,14085.9,USD
ACC-00032,CUST-00032,SAVINGS,ACTIVE,48790.15,USD
ACC-00033,CUST-00033,CURRENT,ACTIVE,45170.44,CAD
ACC-00034,CUST-00034,CREDIT_CARD,SUSPENDED,31405.96,USD
ACC-00035,CUST-00035,CREDIT_CARD,ACTIVE,18875.31,USD
ACC-00036,CUST-00036,SAVINGS,ACTIVE,2254.54,GBP
ACC-00037,CUST-00037,SAVINGS,ACTIVE,43527.62,CAD
ACC-00038,CUST-00038,SAVINGS,ACTIVE,42147.99,GBP
ACC-00039,CUST-00039,SAVINGS,ACTIVE,42956.88,GBP
ACC-00040,CUST-00040,CURRENT,ACTIVE,5130.14,USD
ACC-00041,CUST-00041,SAVINGS,ACTIVE,9564.01,GBP
ACC-00042,CUST-00042,CREDIT_CARD,ACTIVE,22002.11,CAD
ACC-00043,CUST-00043,CREDIT_CARD,SUSPENDED,12884.67,CAD
ACC-00044,CUST-00044,CURRENT,SUSPENDED,11819.21,USD
ACC-00045,CUST-00045,SAVINGS,SUSPENDED,6095.2,GBP
ACC-00046,CUST-00046,CURRENT,SUSPENDED,38761.54,GBP
ACC-00047,CUST-00047,CURRENT,SUSPENDED,37459.18,GBP
ACC-00048,CUST-00048,SAVINGS,ACTIVE,24586.27,USD
ACC-00049,CUST-00049,CREDIT_CARD,ACTIVE,11031.6,CAD
ACC-00050,CUST-00050,CREDIT_CARD,ACTIVE,28933.36,USD
ACC-00051,CUST-00051,CREDIT_CARD,ACTIVE,36084.25,USD
ACC-00052,CUST-00052,SAVINGS,ACTIVE,35156.63,CAD
ACC-00053,CUST-00053,CURRENT,ACTIVE,12928.18,CAD
ACC-00054,CUST-00054,CURRENT,ACTIVE,3124.26,CAD
ACC-00055,CUST-00055,SAVINGS,SUSPENDED,26624.55,CAD
ACC-00056,CUST-00056,CREDIT_CARD,SUSPENDED,13709.49,CAD
ACC-00057,CUST-00057,CREDIT_CARD,ACTIVE,20145.24,CAD
ACC-00058,CUST-00058,CURRENT,SUSPENDED,46346.96,USD
ACC-00059,CUST-00059,CURRENT,SUSPENDED,13895.62,USD
ACC-00060,CUST-00060,CREDIT_CARD,ACTIVE,32169.77,GBP
ACC-00061,CUST-00061,CURRENT,ACTIVE,4635.99,USD
ACC-00062,CUST-00062,CURRENT,ACTIVE,45333.35,USD
ACC-00063,CUST-00063,CREDIT_CARD,ACTIVE,35003.88,USD
